gene,GSM757001,GSM757002,GSM757003,GSM757004,GSM757005,GSM757006,GSM757007,GSM757008,GSM757009,GSM757010,GSM757011,GSM757012,GSM757013,GSM758485,GSM758486,GSM758487,GSM758488,GSM758489,GSM758490,GSM758491,GSM758492,GSM758493,GSM758494,GSM758495,GSM758496,GSM758497,GSM2544316,GSM2544317,GSM2544318,GSM2544319,GSM2544320,GSM2544321,GSM2544322,GSM2544323,GSM2544324,GSM2544325,GSM2544326,GSM2544327,GSM2544328,GSM2544329,GSM2544330,GSM2544331,GSM2544332,GSM2544333,GSM2544334,GSM2544335,GSM756992,GSM756993,GSM756994,GSM756995,GSM756996,GSM756997,GSM756998,GSM756999,GSM757000,GSM2544275,GSM2544276,GSM2544277,GSM2544278,GSM2544279,GSM2544280,GSM2544281,GSM2544282,GSM2544283,GSM2544284,GSM2544285,GSM2544286,GSM2544287,GSM2544288,GSM2544289,GSM2544290,GSM2544291,GSM2544292,GSM2544293,GSM2544294,GSM2544295,GSM2544296,GSM2544297,GSM2544298,GSM2544299,GSM2544300,GSM2544301,GSM2544302,GSM2544303,GSM2544304,GSM2544305,GSM2544306,GSM2544307,GSM2544308,GSM2544309,GSM2544310,GSM2544311,GSM2544312,GSM2544313,GSM2544314,GSM2544315
A2M,6.744821623,6.975181201,7.334955383,7.263296507,7.469187997,7.658287282,7.432337121,5.786721457,6.481952518,7.869447447,5.756968649,5.819435297,5.616182717,7.736558389,7.982495216,8.351050755,8.237785725,8.492583544,8.711971891,8.490672236,6.616696259,7.417263352,8.825551422,6.72426033,6.80841759,6.509341074,6.993195647,8.272604578,6.888206661,6.783750614,6.84024215,7.295905008,6.87808082,7.034054305,7.394498726,7.090901134,7.701471599,6.462210741,6.306414902,6.287762037,8.282375127,6.39967923,7.162670254,7.085394097,7.946268254,6.248502196,7.436541115,6.42976958,6.782827474,7.035034521,7.07557333,6.541193719,7.273535055,7.014220728,7.177087535,6.786283216,7.094144321,7.015269347,5.995401717,5.687718258,6.91756386,6.870132288,7.152767613,7.002834103,5.737459233,6.987556518,7.017578749,5.209849607,7.685706628,6.72304112,7.669896104,6.970857762,7.926595064,8.48280575,6.765853887,7.736158189,7.509836753,6.710961168,7.102848991,8.035847562,6.67934012,7.404492474,6.369880198,6.291360517,9.020718863,8.119696634,7.208548563,7.447127596,8.69775782,7.733138201,7.289910586,8.355255679,8.775033977,7.415328901,9.150578337,6.500627904
AAAS,4.124531632,3.951781975,4.020498302,4.222554396,4.024696354,3.855735321,4.215636159,4.031411739,4.058380781,3.845546331,4.281475734,3.865375128,3.953212171,3.976508038,4.028054046,3.917697467,4.070896412,3.907223839,3.778826664,4.148786099,4.009374542,3.94628226,3.719100022,4.264810194,3.848896076,3.929294688,4.32470278,3.988209464,4.221155073,3.992362735,4.420228014,4.273658688,4.022836382,3.993508803,4.008711342,4.071118157,3.592698559,3.87244683,3.979491513,4.609270413,4.339572274,4.230078728,4.471056606,4.268457303,4.647825306,4.395318183,4.145261765,4.641082794,4.603605525,4.54396165,4.313186611,3.798090154,3.860790771,3.882576041,3.798754303,4.160661276,3.597638372,4.005971522,3.654990734,4.089467942,3.81926044,4.216730435,3.447131275,3.899739861,3.9597272,3.963498448,3.766247461,3.624184043,3.840839817,3.910955652,3.981620032,3.918116126,3.774828276,3.295468314,4.725427771,3.691694288,3.846041201,3.593406737,3.78534859,3.94885425,4.20009776,3.882245186,3.984793758,3.646713579,3.953477703,3.751466127,4.459598835,3.903618859,3.962949903,3.861410263,3.617297841,4.180595018,3.610803457,3.519695972,3.750956763,4.186393925
ABCA1,3.116386065,2.440796838,2.637228008,3.238921452,2.679768312,2.760536442,2.948061071,3.173153464,2.759390578,2.164202174,2.137556031,2.844218103,2.747805874,3.081041676,2.334178658,2.574416596,3.089585149,2.658183094,2.664738227,2.833741004,3.156548931,2.644604375,2.07816219,2.022058191,2.782621624,2.638987886,2.470678815,2.738348965,2.561479789,2.829610425,3.287785247,2.758576229,2.409314821,2.649799256,3.182854182,2.794050689,2.253824124,2.762379501,3.032019507,2.749767307,2.917801979,2.800992086,2.854127028,3.048392334,3.182120815,2.798732295,3.286933875,2.989098629,3.29500839,3.001191791,3.459295954,2.774012409,3.83394037,3.164028347,2.359322366,3.360017564,3.387186225,2.128081666,2.656258854,2.352764616,2.277662797,2.672034756,2.174462817,2.409762523,2.618456383,2.244192303,2.234027506,2.650639222,3.006304794,2.610312607,2.721212932,2.414699954,2.982760326,3.306004288,2.915350325,3.456344367,3.303104933,2.528516688,3.177886911,4.265162054,2.503846589,3.928325235,2.945264845,2.233729043,3.945260879,4.455300043,3.67398359,3.856557674,3.534507564,4.572766554,3.503092201,3.875863966,3.620652515,2.377323858,3.639157221,2.534886742
ABCA3,2.477676168,2.828862416,2.880445497,2.76001822,2.771211472,2.38445825,2.471557368,2.382197501,2.717317083,3.343415746,2.282679339,2.834235085,2.606390136,2.583636833,3.067535411,3.167139767,3.096969852,3.026266963,2.468545777,2.478648813,2.583636833,2.796113056,3.586471096,2.583636833,2.86026293,2.70291003,3.061131617,2.262227965,3.300083758,2.562646101,2.205128154,2.647778972,2.729702776,2.411912474,2.650016063,2.565299753,3.166074312,2.279229854,2.603808569,2.650016063,3.026927272,3.076544401,2.692474501,2.687429476,2.503108632,2.369793456,2.422746702,2.680829456,2.56777852,3.005896158,2.318220312,2.465362411,2.290986266,2.352003856,2.964140233,2.451461525,3.153275442,2.629009384,2.73006417,2.441186337,2.478584321,2.253455858,2.878144145,2.313379032,2.585069838,2.543629661,2.531765367,2.618626198,2.882818893,3.062896979,2.737701135,2.766721601,2.270365178,2.494321097,1.97013218,2.176731362,2.06253174,2.300943893,3.599968452,2.460301891,3.360707747,2.8071898,2.840977583,2.528664296,2.618255921,2.583619586,3.02855378,2.63275844,2.268266941,1.657741752,2.863903906,3.150745215,2.655129347,2.213512218,2.473184447,2.747390052
ABCA4,1.326019029,1.487573888,1.507339432,1.735661674,1.437774713,1.645641217,1.707746878,1.589735541,1.704948819,1.372802263,1.4943252,1.515204633,1.590574259,1.29303052,1.444395521,1.377992966,1.677794772,1.334619387,1.521482533,1.589547711,1.444570993,1.577346484,1.200225536,1.417589864,1.456359474,1.4765626,1.825065162,1.647348295,1.587804769,1.660718939,1.647348295,1.649998058,1.492870155,1.550586258,1.404209692,2.024132419,1.923898278,1.647348295,2.080782525,1.647348295,1.585033178,1.246350819,1.32441223,1.44042312,1.359376919,1.481052821,1.185972281,2.022830414,1.827718596,2.20035441,1.508332204,1.603072511,1.669269613,1.32042682,1.697370476,1.977908644,1.54286019,1.544778984,1.475489203,1.622200797,1.390514043,1.592840204,1.592017864,1.883735456,1.26597518,1.501073122,1.622200797,1.696820561,1.486819225,1.998406236,1.63639378,1.670627501,1.850080419,1.622200797,1.57410912,1.682170722,1.879045071,1.505763508,1.635693268,2.018264231,1.816790868,1.720577057,1.622200797,1.887877614,1.258452289,1.674586917,1.622200797,2.030812534,1.73632335,1.567956797,1.847552485,1.481824269,1.53399719,1.513804168,1.647997915,1.624089134
ABCA7,1.769184455,1.954813898,2.06837173,1.827516845,1.780324353,1.89483065,1.548009288,1.699281281,2.086654413,2.00923771,1.960160843,1.96601024,1.941921689,1.698998704,1.978106715,2.018097019,1.796243821,1.842703662,1.868211764,1.572250221,1.552358359,1.978106715,2.012391128,2.053364942,1.941169856,1.961809121,2.145901652,1.869293724,2.079283228,1.875338253,2.385496486,1.728340457,1.941287921,1.7408925,1.803292614,2.139316974,2.326465874,2.0787688,2.038077546,2.075347854,1.957543845,1.655394568,1.822789435,2.218435998,1.890976864,2.0787688,2.008012577,1.978025089,2.193212979,1.983621892,2.244121467,1.978953475,1.959998165,2.171549996,2.664742748,2.259685759,1.890557959,1.920111847,1.913861547,1.808841074,1.771725094,1.825431376,2.302949153,1.961446135,1.827411924,2.152581853,2.148286379,2.203433059,1.962912255,2.068730091,1.816788986,1.801124654,1.962912255,2.094039948,1.878957608,1.939171403,2.130410007,1.962912255,2.080561935,2.553578467,1.835308393,2.022585901,1.628791279,2.041516851,1.923455629,2.339524983,1.962912255,1.962912255,2.140775731,2.366223795,1.962912255,2.208062911,1.554302107,2.163899269,2.083031189,1.986241564
ABCB1,2.651459455,2.537351216,2.933444942,3.073048514,2.745504545,3.229681012,2.945736903,3.767609436,3.588074766,3.214701119,2.760734674,3.717109615,3.036386166,2.610200779,2.461356945,2.930942174,3.0491013,2.7270358,3.190318948,2.967221968,3.788495328,3.589568737,3.141548047,2.775664342,3.767419903,3.066193976,3.7086552,2.892953622,2.682354984,3.52663969,3.145915948,3.673368609,2.793170924,2.921844449,4.387320408,2.900327431,2.313895283,4.042630528,3.423428335,3.684390861,1.875576705,3.60214706,3.478880262,2.545560378,3.955980024,2.931273255,3.08918544,2.22041591,2.726814167,1.980082626,3.909441725,4.696041973,5.272997017,5.300580257,3.858705196,3.299211285,2.100522172,2.612205211,4.424557916,2.51507093,3.456423981,3.525425694,2.312505459,2.786802954,4.107736861,2.422640063,2.047235135,3.311365433,3.021281305,2.764121072,3.679594359,3.379301186,3.35300383,3.289090154,2.78394574,4.588419129,3.490578675,3.62187864,5.420725515,2.628875954,3.410752517,5.152345223,2.998302712,3.123075042,2.634337628,4.322533404,4.971384685,3.805245831,2.052916594,7.230693546,3.135207211,4.075681119,3.411510777,2.453970511,4.612155982,3.916171663
ABCB11,1.331430328,1.414219403,1.416311011,1.409935901,1.304425011,1.405544988,1.279882271,1.375220803,1.444350511,1.259731284,1.468147184,1.358039179,1.425869833,1.359957392,1.346543023,1.320135311,1.385096422,1.253595837,1.324183371,1.229453685,1.313819435,1.471344954,1.168798851,1.454979319,1.315310065,1.344480659,1.405456308,1.28625845,1.314538767,1.161846081,1.644945388,1.110352775,1.650748635,1.405393229,1.414665809,1.49574306,1.445973907,1.764731981,1.378879117,1.322045142,1.178793245,1.268091763,1.384282866,1.433231995,1.42988882,1.331401826,1.424121024,1.904280477,1.607595566,1.528972081,1.459795137,1.36862885,1.18544402,1.204808546,1.404661091,1.500107623,1.390035162,1.220710705,1.096992202,1.537450258,1.409526503,1.342599923,1.723679826,1.611862185,1.408412111,1.493652562,1.700403758,1.726623502,1.174200622,1.532698323,1.326598941,1.306476812,1.205151274,1.408727505,1.419366792,1.085238524,1.749983675,1.620651161,1.409526503,1.512134643,1.536251761,1.453492409,1.398971322,1.569893774,1.358222433,1.297183206,1.343945604,1.153132311,1.409526503,1.492580223,1.534590687,1.357507541,1.255151716,1.444934722,1.357549593,1.564595157
ABCB4,1.640920476,1.420450796,1.66156568,1.745093645,1.585536875,1.352328853,1.665344957,1.706681027,2.150332914,1.641473245,1.55538347,1.980913985,1.577178259,1.488080579,1.502355601,1.723822933,1.607374894,1.610122177,1.397154074,1.646965783,1.645608104,1.89281435,1.666951544,1.585245943,1.859817507,1.573328269,1.772999269,1.646679531,1.550632084,1.583912633,1.647343516,1.633833456,1.680596964,1.537907966,1.693971516,1.705435419,1.468067596,1.975731472,1.709676792,1.780276001,1.531769493,1.982371321,1.786224764,1.767985506,1.752808708,1.673631898,1.930056665,1.989140756,1.687742096,1.706005705,2.150838266,1.649317356,1.977541082,2.174323712,1.515300712,2.097890179,1.593979849,1.503298484,1.526199188,1.482443938,1.55878865,1.764976285,1.734554936,1.780275039,1.613994251,1.705448007,1.615511931,1.632287712,1.466711562,1.735638993,1.615444177,1.736208123,1.581933266,2.137512461,1.477254016,1.825453113,1.912801003,1.689187152,2.508070233,1.856958518,1.758824261,2.424462339,1.780573154,1.658345732,2.010962361,1.848109903,2.466672807,1.869723289,1.83720158,2.612207455,1.815520441,2.131319785,2.060544416,1.735638993,2.059080939,1.574128056
ABCC2,2.762262438,1.908806475,2.388376569,3.128969743,2.399938215,2.787068143,2.258856272,2.517137422,3.114533516,2.548869221,2.928041024,2.605221536,2.814058759,2.723170328,1.925987103,2.464965821,3.107144218,2.249304657,2.774665536,2.133312873,2.563584947,3.032630824,2.608943937,2.8510529,2.659092239,2.682760298,2.89892365,2.899724017,3.688748351,3.250984142,4.015657066,3.284443182,2.830138045,2.884756225,3.736190823,2.921775521,1.826946414,3.701655427,3.027672417,3.314056779,2.086707058,3.282354867,3.617304055,2.935804951,4.18534417,4.217211675,2.820024771,2.918086368,1.65969409,2.442310889,3.805422652,4.154288234,3.789214162,3.49065366,2.373526496,2.454116456,0.809729283,2.319535125,3.424686212,1.479636858,2.284410953,3.414079043,1.059949914,2.251522289,3.607353989,2.728072122,1.581853904,2.774429038,3.152414077,1.981540861,1.378652562,2.048955721,3.008596322,1.224788815,2.304107352,3.287087404,1.462203567,3.3167194,2.475128402,0.991854282,2.526315122,1.931697287,1.83982982,1.920970523,0.594228041,3.219746141,1.134650879,2.940813477,0.873666685,3.873986753,1.285083165,1.478192517,2.241724687,2.355054882,1.854126039,3.207197851
