,BTG2,CSF3R,CSN3,CXCR1,CXCR2,EGR1,FFAR2,FOXF1,FPR1,FPR2,GLE1,IL1B,IL1R2,IL5RA,KLF6,MXD1,NAMPT,NR4A2,NR4A3,PDK4,PER3,PRDM1,RAB8B,RGS2,S100A12,S100A8
0,4.934222669,2.261800853,1.786610684,2.36995592,2.34189939,4.792053638,1.878638996,2.744266539,2.689890811,1.564884676,2.764852665,1.927323478,1.488026727,1.840608368,3.941378977,3.463571161,2.752755436,3.043174142,2.101023747,4.993913436,3.461049617,2.800412349,4.957563456,4.031657319,2.533856295,2.262577754
0,5.721358015,2.131864148,1.807181799,2.320486322,2.433336141,5.366259795,1.681910326,2.282113062,2.734093262,1.777808457,2.95337986,2.42989054,2.242544847,1.744309563,4.304883706,3.254317296,2.814156053,2.403419029,2.273422869,4.630619933,2.486207594,3.061037033,5.41083084,4.942730928,4.072588321,3.558469196
0,5.300142831,2.181951962,1.830889381,2.309014806,2.408490756,5.515191736,1.611935548,3.344907286,2.351770352,1.736488052,3.007301594,1.87905641,1.33362782,1.883434548,3.925572555,3.272853465,3.28079368,4.782732212,2.940053727,5.026976924,3.948835065,2.614137595,5.208842358,5.174232845,1.792711856,1.877406256
0,4.75966507,2.531098017,1.920560486,2.256701311,2.394444041,3.797870567,1.914271723,2.715105122,2.575380863,2.008636279,3.014648832,1.814300822,1.295787755,1.976785279,3.80446601,3.167745235,2.787266067,1.711549888,1.97979188,4.985096605,3.1768016,2.897173256,5.647249571,5.140324657,3.171604904,3.279961195
0,5.55747613,2.335821756,1.816368646,2.585842818,2.482408531,5.787260586,1.420302261,3.283543055,2.886317439,1.612622547,3.039740631,2.314563852,1.570341181,1.837325954,3.700652996,3.495598856,3.043015123,3.392591151,2.673977502,4.922843219,4.028918609,3.316252875,5.347000217,4.98207921,3.061585619,3.136800989
0,5.214554185,2.298163212,2.045773938,2.395434048,2.415556599,5.545320371,1.687766445,2.981420224,2.780201674,1.939165607,2.942455213,2.209644861,1.985382113,1.935367938,4.356496312,3.327678024,4.211911424,4.488074512,3.772577213,5.059403593,4.080371908,3.215695983,5.419666087,5.738543959,1.998802799,1.704682158
0,4.696966667,2.222343518,2.015552938,2.210852151,2.868253513,3.948819991,1.73280556,2.675264719,2.719844899,1.999433141,3.305449942,1.940256481,2.048635641,1.914086496,3.467357785,3.197508866,3.094149478,1.638388675,2.041944308,4.811164258,4.304124186,2.896221761,5.426312338,4.578699962,3.001898834,3.364936618
0,5.32612985,2.390952751,1.685271848,2.31024262,4.014285395,5.394057503,1.348055565,3.09180939,2.75503677,1.851370067,3.072463863,2.513339784,1.4734055,1.840150639,3.920635956,3.345183216,3.965982915,4.750336977,2.767199232,4.8592098,3.636682282,2.421606774,5.700631486,5.877792582,2.92599513,4.208619864
0,5.291319545,2.759991633,1.7627907,2.469287924,2.616382677,5.158038387,1.671098121,2.53461562,2.991559849,1.851128325,3.132512396,2.28893129,1.702360491,1.840801117,4.035129494,3.638304614,2.708918994,3.850371033,1.928392619,4.60078754,3.562550867,2.669928348,5.230302603,5.644081796,2.901125168,3.70571451
0,5.463490586,2.543716798,1.415804004,2.146424566,2.648234527,4.898988564,1.742201667,3.791047862,2.958243033,1.605847215,2.797845387,2.461406322,1.31456387,1.723187222,4.217784954,3.379795504,2.816221189,2.791277466,1.710735126,4.995494383,3.687715301,3.196903029,4.935506065,4.691188046,2.61315095,3.40498353
0,5.148027495,2.469672841,2.253907732,2.364726216,3.006699165,3.981418666,1.851491542,2.448884963,3.168420844,1.97371124,3.089650938,1.806932876,2.02722145,1.921133758,3.987778648,3.55223835,2.49520673,1.811180849,2.097424342,4.546101099,3.487220413,2.881702359,4.51027188,5.547691555,4.925791774,4.152089079
0,6.024803522,2.572644651,1.908890968,2.431415859,3.02572519,6.380809301,1.761474994,2.429944581,2.916077833,1.9902826,3.124520712,2.140616272,1.849713068,1.914229712,4.352611043,3.492287477,3.243837917,4.089856876,2.239461561,5.046274675,3.281170658,2.865866212,5.164910646,5.25267036,3.786351675,3.535111303
0,5.27899707,2.756403732,1.901355645,2.308272328,3.095879956,4.748786497,1.621570673,2.055315562,3.04290693,2.047817065,3.137447142,2.102631169,1.911373848,1.894893951,3.458907234,3.635517912,3.140168933,2.031781241,1.884051253,4.639057147,3.599829272,2.900584847,5.10219041,5.50419742,3.973335959,3.831573502
0,4.79838764,2.158506271,1.615272655,2.442525785,2.633396915,4.621220842,1.812253547,2.646153007,2.784469552,1.61577783,2.709494236,1.931366406,1.233346435,1.871721171,3.799356279,3.32664603,2.772657157,2.306507823,1.722634102,4.943429079,3.366892623,2.488074604,4.759656318,4.080921794,2.74987429,3.113161691
