IL5RA,RAB8B,PER3,KLF6,NR4A3,label
1.840608368,4.957563456,3.461049617,3.941378977,2.101023747,0
1.744309563,5.41083084,2.486207594,4.304883706,2.273422869,0
1.883434548,5.208842358,3.948835065,3.925572555,2.940053727,0
1.976785279,5.647249571,3.1768016,3.80446601,1.97979188,0
1.837325954,5.347000217,4.028918609,3.700652996,2.673977502,0
1.935367938,5.419666087,4.080371908,4.356496312,3.772577213,0
1.914086496,5.426312338,4.304124186,3.467357785,2.041944308,0
1.840150639,5.700631486,3.636682282,3.920635956,2.767199232,0
1.840801117,5.230302603,3.562550867,4.035129494,1.928392619,0
1.723187222,4.935506065,3.687715301,4.217784954,1.710735126,0
1.921133758,4.51027188,3.487220413,3.987778648,2.097424342,0
1.914229712,5.164910646,3.281170658,4.352611043,2.239461561,0
1.894893951,5.10219041,3.599829272,3.458907234,1.884051253,0
1.871721171,4.759656318,3.366892623,3.799356279,1.722634102,0
1.766789336,5.241229801,2.648371654,4.138686144,1.893170957,0
1.787546505,5.160836946,3.958773048,3.853545318,2.598878858,0
1.935788206,5.474294867,3.169813263,3.669371786,1.592461502,0
1.858518402,5.324697002,4.052922793,3.541635138,2.247505146,0
1.910529154,5.349949113,4.27768954,4.190128469,3.38758807,0
1.899893216,5.361056849,4.349701643,3.315290454,1.661015736,0
1.907406092,5.598993237,3.849158156,3.709813733,2.398562115,0
1.844477345,5.147281256,3.524885852,3.843040774,1.519690046,0
1.70617476,4.913672439,3.67779778,4.085937448,1.369983682,0
1.940625055,4.272324018,3.407823127,3.921415701,1.772004194,0
1.865300059,5.02962286,3.251286386,4.238810576,1.920652271,0
1.879526608,4.925290863,3.584861985,3.310306683,1.49075737,0
2.127680762,5.310561001,2.212534245,4.445807548,2.626088033,0
1.869862526,5.029668762,3.882754444,4.735866393,3.454737728,0
2.183205155,5.608259764,2.076138879,3.67631755,1.691096848,0
2.156800181,5.329600559,1.956226407,4.90654926,3.715548638,0
2.138736943,5.481446908,3.753024102,4.371640911,5.337300598,0
1.874651133,5.136149251,1.675599925,3.828707762,1.620382411,0
2.469989503,5.245215359,2.151586949,4.990003935,1.924119186,0
2.199374594,5.252031991,3.942878755,3.506136738,1.448112736,0
1.883497881,5.329130447,2.220312038,3.597049375,1.588497658,0
1.976366194,5.085377097,2.364821347,3.635829157,1.614446043,0
2.665528795,5.636584044,2.885342321,4.40697918,1.678135926,0
2.140206892,5.15636409,3.42949805,4.485494271,1.808736015,0
1.89550998,5.06821799,2.927743464,3.322181776,1.293015176,0
1.826097725,5.740008802,1.923457673,3.543847627,2.477820393,0
2.237142364,5.42902936,2.259989215,4.202010741,2.346795645,0
1.758164437,4.944813449,4.38270078,3.420382323,1.696493546,0
2.410100353,4.483868109,3.753024102,4.190131447,2.286016441,0
2.064328665,5.267075592,2.458259185,4.251309408,1.839506041,0
2.40250712,5.392243054,3.117586525,3.351600642,1.736889157,0
1.911751564,5.576644696,2.176971997,4.196544808,3.658087075,0
1.742159451,5.047749561,3.03047062,3.58910778,1.469032455,1
2.203187487,5.638762018,2.978776064,3.819119971,2.558656254,1
2.456944756,5.161469025,1.80710535,3.507731671,1.807869461,1
2.419828234,5.002292118,2.595454686,3.687592323,1.836656008,1
1.958522529,5.210092782,3.424173671,3.708574986,1.381598033,1
1.871300602,4.76507918,3.696288518,3.804200306,1.586000135,1
1.833784198,4.827444257,4.326973743,3.857363875,1.358071715,1
1.851246199,4.837582737,4.039915049,4.468745404,2.57670799,1
2.084709729,5.258604229,2.868764339,4.15587341,2.729893404,1
1.668883582,4.631507894,3.746637513,3.780531203,1.766391119,1
1.777208905,4.785469749,4.534443331,3.786774513,2.556741953,1
1.710610294,5.369937158,4.238956743,3.13886306,1.788137157,1
1.798978579,4.602008332,3.529531606,3.379679921,1.267975101,1
2.050772729,5.170021803,3.837467299,3.54100997,1.46910384,1
1.668694202,5.092453234,3.035288213,3.572599014,1.398539803,1
1.857614214,4.91639609,4.268433536,3.330243594,1.351623919,1
1.767902234,5.186123157,4.569391238,3.609710675,1.475907218,1
1.981126004,5.204104961,4.813736808,3.42534273,1.176540883,1
1.941311127,5.224437328,5.241573381,3.294589515,1.531758618,1
1.629447465,4.775597386,4.65174775,3.47351582,1.663393812,1
1.938055596,5.042738834,3.132667109,3.314323558,1.869344191,1
1.618111723,5.064481539,4.731345522,3.328243467,1.803009041,1
1.585799899,4.954475205,5.012910902,3.767340085,1.712999198,1
2.103925364,4.356609589,5.231222309,3.604463379,1.187104256,1
1.868986028,5.227022947,4.223540254,4.015647298,1.670400672,1
1.756828016,4.866916746,4.613797684,3.226536625,1.369362246,1
1.446795027,4.660654871,3.659401045,3.559715608,1.420577794,1
1.781826168,5.525779463,3.731197841,4.102154798,1.70721323,1
1.858001992,4.876671581,4.245529037,3.123930941,1.468918052,1
1.54122347,4.771836486,4.040327442,3.775591619,1.433282152,1
1.831633091,5.105851442,4.376035999,3.855086529,1.464467988,1
1.812640989,5.00454219,3.4316311,3.394984534,1.260968241,1
1.63211682,5.108672117,4.358405562,3.898311937,1.665340162,1
1.820748253,4.838004825,2.810763845,4.032668619,1.688333634,1
1.646572822,4.718478713,3.923672138,3.675471922,2.133083472,1
1.495916575,4.981036564,3.106876365,4.113540134,1.878713212,1
2.039085282,4.68275016,3.365027227,3.809642357,1.601482186,1
1.855485944,4.747508162,3.353980674,3.311886157,1.539800583,1
2.40404747,5.118426952,4.290735285,4.116074707,1.572499264,1
1.699463932,4.393983536,4.280708771,4.455893786,1.720050293,1
1.608399238,5.2130371,3.164531719,4.411850513,1.486806778,1
1.559187509,5.107026723,4.11438455,3.742739337,1.698799689,1
1.924321042,5.70418717,2.927824846,3.954639389,2.022159212,1
2.329260432,5.199521364,4.514100519,4.04836192,1.606454226,1
1.868986028,4.558522923,4.08837357,3.560193371,2.31582805,1
1.427658636,4.938138795,3.909716157,4.349295946,1.561307751,1
1.520463822,5.42964145,4.390096301,4.410878791,1.573242416,1
1.901956173,5.266747457,4.208471504,3.908984677,2.036226015,1
1.952457489,5.012886688,3.049035549,3.973984743,2.254942681,1
1.966417496,5.001956571,4.940754775,3.418168187,1.364345971,1
