,IL5RA,IL5RA_xishu,IL5RA_score,RAB8B,RAB8B_xishu,RAB8B_score,PER3,PER3_xishu,PER3_score,KLF6,KLF6_xishu,KLF6_score,NR4A3,NR4A3_xishu,NR4A3_score,total_score,中位值,total_score-中位值,
GSM756992,1.742159,-0.96602,-1.68297,5.04775,-1.37122,-6.92158,3.030471,0.724906,2.196807,3.589108,0.04956,0.177876,1.469032,-1.37248,-2.01622,-8.24609,-7.89049,-0.3556,low
GSM756993,2.203187,-0.96602,-2.12833,5.638762,-1.37122,-7.73199,2.978776,0.724906,2.159333,3.81912,0.04956,0.189276,2.558656,-1.37248,-3.51171,-11.0234,-7.89049,-3.13291,low
GSM756994,2.456945,-0.96602,-2.37347,5.161469,-1.37122,-7.07752,1.807105,0.724906,1.309982,3.507732,0.04956,0.173843,1.807869,-1.37248,-2.48127,-10.4484,-7.89049,-2.55791,low
GSM756995,2.419828,-0.96602,-2.33761,5.002292,-1.37122,-6.85925,2.595455,0.724906,1.881461,3.687592,0.04956,0.182757,1.836656,-1.37248,-2.52078,-9.65342,-7.89049,-1.76293,low
GSM756996,1.958523,-0.96602,-1.89198,5.210093,-1.37122,-7.14419,3.424174,0.724906,2.482205,3.708575,0.04956,0.183797,1.381598,-1.37248,-1.89622,-8.26639,-7.89049,-0.3759,low
GSM756997,1.871301,-0.96602,-1.80772,4.765079,-1.37122,-6.53398,3.696289,0.724906,2.679463,3.8042,0.04956,0.188536,1.586,-1.37248,-2.17676,-7.65046,-7.89049,0.24003,high
GSM756998,1.833784,-0.96602,-1.77148,4.827444,-1.37122,-6.61949,4.326974,0.724906,3.13665,3.857364,0.04956,0.191171,1.358072,-1.37248,-1.86393,-6.92708,-7.89049,0.96341,high
GSM756999,1.851246,-0.96602,-1.78835,4.837583,-1.37122,-6.6334,4.039915,0.724906,2.928559,4.468745,0.04956,0.221471,2.576708,-1.37248,-3.53649,-8.8082,-7.89049,-0.91771,low
GSM757000,2.08471,-0.96602,-2.01388,5.258604,-1.37122,-7.21071,2.868764,0.724906,2.079585,4.155873,0.04956,0.205965,2.729893,-1.37248,-3.74673,-10.6858,-7.89049,-2.79531,low
GSM2544275,1.668884,-0.96602,-1.61218,4.631508,-1.37122,-6.35082,3.746638,0.724906,2.715961,3.780531,0.04956,0.187363,1.766391,-1.37248,-2.42434,-7.48402,-7.89049,0.40647,high
GSM2544276,1.777209,-0.96602,-1.71683,4.78547,-1.37122,-6.56194,4.534443,0.724906,3.287046,3.786775,0.04956,0.187673,2.556742,-1.37248,-3.50909,-8.31313,-7.89049,-0.42264,low
GSM2544277,1.71061,-0.96602,-1.65249,5.369937,-1.37122,-7.36337,4.238957,0.724906,3.072846,3.138863,0.04956,0.155562,1.788137,-1.37248,-2.45419,-8.24164,-7.89049,-0.35115,low
GSM2544278,1.798979,-0.96602,-1.73786,4.602008,-1.37122,-6.31037,3.529532,0.724906,2.55858,3.37968,0.04956,0.167497,1.267975,-1.37248,-1.74027,-7.06243,-7.89049,0.82806,high
GSM2544279,2.050773,-0.96602,-1.98109,5.170022,-1.37122,-7.08924,3.837467,0.724906,2.781804,3.54101,0.04956,0.175493,1.469104,-1.37248,-2.01632,-8.12936,-7.89049,-0.23887,low
GSM2544280,1.668694,-0.96602,-1.612,5.092453,-1.37122,-6.98288,3.035288,0.724906,2.200299,3.572599,0.04956,0.177058,1.39854,-1.37248,-1.91947,-8.13699,-7.89049,-0.2465,low
GSM2544281,1.857614,-0.96602,-1.7945,4.916396,-1.37122,-6.74147,4.268434,0.724906,3.094214,3.330244,0.04956,0.165047,1.351624,-1.37248,-1.85508,-7.13179,-7.89049,0.7587,high
GSM2544282,1.767902,-0.96602,-1.70783,5.186123,-1.37122,-7.11132,4.569391,0.724906,3.31238,3.609711,0.04956,0.178897,1.475907,-1.37248,-2.02566,-7.35354,-7.89049,0.53695,high
GSM2544283,1.981126,-0.96602,-1.91381,5.204105,-1.37122,-7.13598,4.813737,0.724906,3.489508,3.425343,0.04956,0.16976,1.176541,-1.37248,-1.61478,-7.00531,-7.89049,0.88518,high
GSM2544284,1.941311,-0.96602,-1.87535,5.224437,-1.37122,-7.16386,5.241573,0.724906,3.799649,3.29459,0.04956,0.16328,1.531759,-1.37248,-2.10231,-7.1786,-7.89049,0.71189,high
GSM2544285,1.629447,-0.96602,-1.57408,4.775597,-1.37122,-6.5484,4.651748,0.724906,3.372081,3.473516,0.04956,0.172148,1.663394,-1.37248,-2.28298,-6.86124,-7.89049,1.02925,high
GSM2544286,1.938056,-0.96602,-1.87221,5.042739,-1.37122,-6.91471,3.132667,0.724906,2.27089,3.314324,0.04956,0.164258,1.869344,-1.37248,-2.56564,-8.91741,-7.89049,-1.02692,low
GSM2544287,1.618112,-0.96602,-1.56313,5.064482,-1.37122,-6.94453,4.731346,0.724906,3.429782,3.328243,0.04956,0.164948,1.803009,-1.37248,-2.4746,-7.38753,-7.89049,0.50296,high
GSM2544288,1.5858,-0.96602,-1.53192,4.954475,-1.37122,-6.79368,5.012911,0.724906,3.63389,3.76734,0.04956,0.18671,1.712999,-1.37248,-2.35106,-6.85606,-7.89049,1.03443,high
GSM2544289,2.103925,-0.96602,-2.03244,4.35661,-1.37122,-5.97388,5.231222,0.724906,3.792145,3.604463,0.04956,0.178637,1.187104,-1.37248,-1.62928,-5.66482,-7.89049,2.22567,high
GSM2544290,1.868986,-0.96602,-1.80548,5.227023,-1.37122,-7.16741,4.22354,0.724906,3.06167,4.015647,0.04956,0.199016,1.670401,-1.37248,-2.2926,-8.0048,-7.89049,-0.11431,low
GSM2544291,1.756828,-0.96602,-1.69714,4.866917,-1.37122,-6.67362,4.613798,0.724906,3.344571,3.226537,0.04956,0.159907,1.369362,-1.37248,-1.87943,-6.74571,-7.89049,1.14478,high
GSM2544292,1.446795,-0.96602,-1.39764,4.660655,-1.37122,-6.39079,3.659401,0.724906,2.652722,3.559716,0.04956,0.17642,1.420578,-1.37248,-1.94972,-6.90901,-7.89049,0.98148,high
GSM2544293,1.781826,-0.96602,-1.72129,5.525779,-1.37122,-7.57707,3.731198,0.724906,2.704769,4.102155,0.04956,0.203303,1.707213,-1.37248,-2.34312,-8.7334,-7.89049,-0.84291,low
GSM2544294,1.858002,-0.96602,-1.79487,4.876672,-1.37122,-6.687,4.245529,0.724906,3.07761,3.123931,0.04956,0.154822,1.468918,-1.37248,-2.01607,-7.2655,-7.89049,0.62499,high
