IL5RA	RAB8B	PER3	KLF6	NR4A3	riskScore	risk
GSM756992	1.742159	5.04775	3.030471	3.589108	1.469032	-8.24609	low
GSM756993	2.203187	5.638762	2.978776	3.81912	2.558656	-11.0234	low
GSM756994	2.456945	5.161469	1.807105	3.507732	1.807869	-10.4484	low
GSM756995	2.419828	5.002292	2.595455	3.687592	1.836656	-9.65342	low
GSM756996	1.958523	5.210093	3.424174	3.708575	1.381598	-8.26639	low
GSM756997	1.871301	4.765079	3.696289	3.8042	1.586	-7.65046	high
GSM756998	1.833784	4.827444	4.326974	3.857364	1.358072	-6.92708	high
GSM756999	1.851246	4.837583	4.039915	4.468745	2.576708	-8.8082	low
GSM757000	2.08471	5.258604	2.868764	4.155873	2.729893	-10.6858	low
GSM2544275	1.668884	4.631508	3.746638	3.780531	1.766391	-7.48402	high
GSM2544276	1.777209	4.78547	4.534443	3.786775	2.556742	-8.31313	low
GSM2544277	1.71061	5.369937	4.238957	3.138863	1.788137	-8.24164	low
GSM2544278	1.798979	4.602008	3.529532	3.37968	1.267975	-7.06243	high
GSM2544279	2.050773	5.170022	3.837467	3.54101	1.469104	-8.12936	low
GSM2544280	1.668694	5.092453	3.035288	3.572599	1.39854	-8.13699	low
GSM2544281	1.857614	4.916396	4.268434	3.330244	1.351624	-7.13179	high
GSM2544282	1.767902	5.186123	4.569391	3.609711	1.475907	-7.35354	high
GSM2544283	1.981126	5.204105	4.813737	3.425343	1.176541	-7.00531	high
GSM2544284	1.941311	5.224437	5.241573	3.29459	1.531759	-7.1786	high
GSM2544285	1.629447	4.775597	4.651748	3.473516	1.663394	-6.86124	high
GSM2544286	1.938056	5.042739	3.132667	3.314324	1.869344	-8.91741	low
GSM2544287	1.618112	5.064482	4.731346	3.328243	1.803009	-7.38753	high
GSM2544288	1.5858	4.954475	5.012911	3.76734	1.712999	-6.85606	high
GSM2544289	2.103925	4.35661	5.231222	3.604463	1.187104	-5.66482	high
GSM2544290	1.868986	5.227023	4.22354	4.015647	1.670401	-8.0048	low
GSM2544291	1.756828	4.866917	4.613798	3.226537	1.369362	-6.74571	high
GSM2544292	1.446795	4.660655	3.659401	3.559716	1.420578	-6.90901	high
GSM2544293	1.781826	5.525779	3.731198	4.102155	1.707213	-8.7334	low
GSM2544294	1.858002	4.876672	4.245529	3.123931	1.468918	-7.2655	high
GSM2544295	1.541223	4.771836	4.040327	3.775592	1.433282	-6.88328	high
GSM2544296	1.831633	5.105851	4.376036	3.855087	1.464468	-7.41734	high
GSM2544297	1.812641	5.004542	3.431631	3.394985	1.260968	-7.68818	high
GSM2544298	1.632117	5.108672	4.358406	3.898312	1.66534	-7.5148	high
GSM2544299	1.820748	4.838005	2.810764	4.032669	1.688334	-8.47267	low
GSM2544300	1.646573	4.718479	3.923672	3.675472	2.133083	-7.96188	low
GSM2544301	1.495917	4.981037	3.106876	4.11354	1.878713	-8.39764	low
GSM2544302	2.039085	4.68275	3.365027	3.809642	1.601482	-7.96076	low
GSM2544303	1.855486	4.747508	3.353981	3.311886	1.539801	-7.82022	high
GSM2544304	2.404047	5.118427	4.290735	4.116075	1.572499	-8.18472	low
GSM2544305	1.699464	4.393984	4.280709	4.455894	1.72005	-6.70364	high
GSM2544306	1.608399	5.213037	3.164532	4.411851	1.486807	-8.22996	low
GSM2544307	1.559188	5.107027	4.114385	3.742739	1.6988	-7.67262	high
GSM2544308	1.924321	5.704187	2.927825	3.954639	2.022159	-10.1376	low
GSM2544309	2.32926	5.199521	4.514101	4.048362	1.606454	-8.11171	low
GSM2544310	1.868986	4.558523	4.088374	3.560193	2.315828	-8.09453	low
GSM2544311	1.427659	4.938139	3.909716	4.349296	1.561308	-7.24357	high
GSM2544312	1.520464	5.429641	4.390096	4.410879	1.573242	-7.67228	high
GSM2544313	1.901956	5.266747	4.208472	3.908985	2.036226	-8.60942	low
GSM2544314	1.952457	5.012887	3.049036	3.973985	2.254943	-9.44755	low
GSM2544315	1.966417	5.001957	4.940755	3.418168	1.364346	-6.87995	high
